<CODE>
bg
</CODE>
<TRANSITION>
\n\n* \s 34 
\n\n- \s 65 
\n\n1 8 17 
\n\n1 9 153 
\n\n: \s 12 
\n\nа \s 11 
\n\nа в 35 
\n\nа д 41 
\n\nа к 56 
\n\nа л 40 
\n\nа м 13 
\n\nа н 42 
\n\nа п 14 
\n\nа р 19 
\n\nа т 16 
\n\nб а 44 
\n\nб е 39 
\n\nб и 101 
\n\nб л 23 
\n\nб о 49 
\n\nб р 51 
\n\nб у 13 
\n\nб ъ 27 
\n\nв \s 670 
\n\nв а 38 
\n\nв е 43 
\n\nв и 197 
\n\nв к 13 
\n\nв л 27 
\n\nв о 36 
\n\nв р 17 
\n\nв с 47 
\n\nв т 12 
\n\nв ъ 277 
\n\nг а 26 
\n\nг е 230 
\n\nг л 29 
\n\nг о 58 
\n\nг р 78 
\n\nд - 15 
\n\nд а 26 
\n\nд в 28 
\n\nд е 67 
\n\nд ж 27 
\n\nд и 53 
\n\nд н 25 
\n\nд о 132 
\n\nд р 85 
\n\nд у 20 
\n\nд ъ 49 
\n\nе \s 112 
\n\nе . 10 
\n\nе в 17 
\n\nе д 69 
\n\nе з 11 
\n\nе к 18 
\n\nе л 21 
\n\nе т 20 
\n\nж е 22 
\n\nж и 22 
\n\nз а 345 
\n\nз е 13 
\n\nи \s 75 
\n\nи в 18 
\n\nи г 53 
\n\nи з 219 
\n\nи к 11 
\n\nи л 16 
\n\nи м 144 
\n\nи н 28 
\n\nи с 150 
\n\nй о 10 
\n\nк а 158 
\n\nк и 30 
\n\nк л 37 
\n\nк м 11 
\n\nк о 155 
\n\nк р 64 
\n\nк у 73 
\n\nк ъ 26 
\n\nл а 17 
\n\nл е 31 
\n\nл и 55 
\n\nл о 29 
\n\nл у 11 
\n\nл ю 19 
\n\nм а 108 
\n\nм е 65 
\n\nм и 59 
\n\nм н 22 
\n\nм о 53 
\n\nм у 23 
\n\nм ъ 12 
\n\nн а 576 
\n\nн е 98 
\n\nн и 35 
\n\nн о 78 
\n\nн я 40 
\n\nо б 168 
\n\nо к 21 
\n\nо п 38 
\n\nо р 21 
\n\nо с 139 
\n\nо т 315 
\n\nо щ 11 
\n\nп а 62 
\n\nп е 66 
\n\nп и 25 
\n\nп л 54 
\n\nп о 481 
\n\nп р 844 
\n\nп ъ 107 
\n\nр а 181 
\n\nр е 136 
\n\nр и 12 
\n\nр о 116 
\n\nр у 19 
\n\nр ъ 10 
\n\nс \s 76 
\n\nс . 12 
\n\nс а 63 
\n\nс в 61 
\n\nс г 15 
\n\nс е 119 
\n\nс и 38 
\n\nс к 26 
\n\nс л 211 
\n\nс м 14 
\n\nс о 29 
\n\nс п 96 
\n\nс р 70 
\n\nс т 172 
\n\nс у 18 
\n\nс ъ 268 
\n\nс ю 12 
\n\nт а 98 
\n\nт в 12 
\n\nт е 136 
\n\nт и 10 
\n\nт о 526 
\n\nт р 58 
\n\nт у 31 
\n\nт ъ 19 
\n\nт я 74 
\n\nу м 24 
\n\nу с 29 
\n\nу ч 57 
\n\nф а 12 
\n\nф и 47 
\n\nф к 11 
\n\nф о 26 
\n\nф р 12 
\n\nх а 38 
\n\nх е 19 
\n\nх и 13 
\n\nх о 15 
\n\nх р 28 
\n\nх у 10 
\n\nц е 39 
\n\nц ъ 10 
\n\nч а 26 
\n\nч е 60 
\n\nч и 11 
\n\nч л 27 
\n\nч р 10 
\n\nш а 19 
\n\nю н 10 
\n\n— \s 16 
\n\n„ в 11 
\n\n„ м 11 
\n\n„ п 15 
\n\n„ с 18 
\n-\s " 39 
\n19 3 13 
\n19 4 23 
\n19 5 23 
\n19 6 28 
\n19 7 20 
\n19 8 17 
\n19 9 13 
\n:\s з 10 
\nав т 21 
\nад м 29 
\nак о 26 
\nак т 20 
\nал е 20 
\nан а 10 
\nан д 12 
\nап о 11 
\nба щ 13 
\nбе л 18 
\nби б 13 
\nби л 25 
\nби о 44 
\nбл и 10 
\nбо р 11 
\nбр а 14 
\nбр о 20 
\nбъ л 22 
\nв\s б 29 
\nв\s г 26 
\nв\s д 23 
\nв\s е 22 
\nв\s з 16 
\nв\s и 19 
\nв\s к 36 
\nв\s м 50 
\nв\s н 61 
\nв\s о 23 
\nв\s п 89 
\nв\s р 48 
\nв\s с 104 
\nв\s т 52 
\nве р 10 
\nви д 18 
\nви ж 133 
\nви с 16 
\nвк л 13 
\nвл а 18 
\nво д 15 
\nвс е 17 
\nвс и 12 
\nвс я 16 
\nвт о 12 
\nвъ в 21 
\nвъ з 21 
\nвъ н 170 
\nвъ п 36 
\nвъ р 15 
\nге н 12 
\nге о 192 
\nге р 24 
\nгл а 20 
\nго л 24 
\nго р 22 
\nгр а 51 
\nд- р 15 
\nдв а 12 
\nдв е 12 
\nде й 12 
\nдж а 10 
\nди м 26 
\nдн е 23 
\nдо \s 57 
\nдо б 12 
\nдо к 11 
\nдо л 17 
\nдр у 75 
\nдъ л 32 
\nдъ р 10 
\nе\s и 13 
\nе\s н 14 
\nе\s о 12 
\nе\s п 22 
\nе\s с 11 
\nев р 10 
\nед и 39 
\nед н 24 
\nел е 10 
\nет н 10 
\nже н 11 
\nжи в 16 
\nза \s 133 
\nза в 60 
\nза д 10 
\nза е 30 
\nза к 12 
\nза п 38 
\nи\s д 10 
\nи\s н 11 
\nи\s с 12 
\nив а 17 
\nиг р 50 
\nиз б 17 
\nиз в 43 
\nиз г 17 
\nиз п 36 
\nиз т 50 
\nик о 11 
\nил и 12 
\nим а 95 
\nим е 48 
\nин т 10 
\nис т 146 
\nка н 14 
\nка р 34 
\nка т 67 
\nки р 14 
\nкл и 20 
\nко г 32 
\nко л 16 
\nко м 14 
\nко н 35 
\nко р 20 
\nко с 11 
\nкр а 31 
\nкр и 11 
\nкр ъ 10 
\nку л 57 
\nкъ м 19 
\nли т 14 
\nли ч 23 
\nлю б 14 
\nма й 12 
\nма к 22 
\nма л 15 
\nма н 12 
\nма р 20 
\nме ж 23 
\nме с 16 
\nми н 16 
\nми х 14 
\nмн о 21 
\nмо н 13 
\nму з 13 
\nна \s 235 
\nна д 18 
\nна й 81 
\nна м 24 
\nна п 19 
\nна р 28 
\nна с 93 
\nна ц 16 
\nна ч 15 
\nне \s 17 
\nне г 24 
\nни к 25 
\nно \s 22 
\nно в 14 
\nно с 29 
\nня к 33 
\nоб и 28 
\nоб л 27 
\nоб р 23 
\nоб щ 48 
\nок о 10 
\nоп е 25 
\nос в 32 
\nос н 67 
\nос т 22 
\nот \s 224 
\nот б 28 
\nот к 13 
\nот н 12 
\nощ е 11 
\nпа р 24 
\nпе р 13 
\nпе т 27 
\nпе ч 11 
\nпл а 19 
\nпл о 27 
\nпо \s 127 
\nпо - 41 
\nпо б 13 
\nпо в 27 
\nпо д 37 
\nпо л 47 
\nпо н 28 
\nпо п 14 
\nпо р 34 
\nпо с 60 
\nпо ч 15 
\nпр . 19 
\nпр а 26 
\nпр е 537 
\nпр и 146 
\nпр о 108 
\nпъ р 89 
\nра б 27 
\nра д 11 
\nра з 95 
\nре г 11 
\nре д 46 
\nре з 12 
\nре к 11 
\nре л 24 
\nро д 88 
\nс\s н 14 
\nс\s п 12 
\nса м 28 
\nсв . 22 
\nсв е 26 
\nсг р 13 
\nсе \s 25 
\nсе в 13 
\nсе л 36 
\nси н 20 
\nск о 10 
\nсл е 183 
\nсл у 10 
\nсо ф 13 
\nсп е 12 
\nсп о 69 
\nср е 62 
\nст а 85 
\nст е 13 
\nст о 31 
\nст р 30 
\nсъ б 89 
\nсъ в 15 
\nсъ д 19 
\nсъ з 30 
\nсъ с 40 
\nсъ щ 44 
\nсю ж 10 
\nта з 23 
\nта к 39 
\nта м 20 
\nте \s 54 
\nте з 17 
\nте р 18 
\nто \s 189 
\nто в 103 
\nто г 18 
\nто з 34 
\nто й 155 
\nтр а 17 
\nтр е 14 
\nтр и 13 
\nту к 18 
\nтъ й 10 
\nтя \s 64 
\nум и 24 
\nус п 17 
\nуч а 32 
\nуч и 20 
\nфи л 34 
\nфк \s 11 
\nха р 29 
\nце л 17 
\nце н 17 
\nцъ р 10 
\nча с 19 
\nче р 21 
\nче с 13 
\nче т 14 
\nчл е 26 
\nчр е 10 
\nша м 13 
\s"а " 891 
\s"а в 17 
\s"а к 27 
\s"а л 23 
\s"а н 23 
\s"а р 25 
\s"б " 598 
\s"б а 50 
\s"б е 53 
\s"б и 23 
\s"б о 63 
\s"б р 17 
\s"б у 17 
\s"б ъ 41 
\s"б я 12 
\s"в \s 13 
\s"в " 274 
\s"в а 48 
\s"в е 29 
\s"в и 30 
\s"в л 11 
\s"в о 10 
\s"в р 20 
\s"в с 11 
\s"в ъ 38 
\s"г а 17 
\s"г е 49 
\s"г л 13 
\s"г н 14 
\s"г о 53 
\s"г р 42 
\s"д а 22 
\s"д е 47 
\s"д ж 16 
\s"д и 14 
\s"д о 36 
\s"д р 15 
\s"д у 11 
\s"д ъ 31 
\s"е в 22 
\s"е д 16 
\s"е л 15 
\s"е т 10 
\s"ж е 11 
\s"ж и 21 
\s"з а 106 
\s"з в 16 
\s"з е 12 
\s"з л 36 
\s"з ъ 18 
\s"и в 15 
\s"и з 46 
\s"и н 21 
\s"и с 31 
\s"к а 77 
\s"к и 23 
\s"к л 16 
\s"к н 12 
\s"к о 88 
\s"к р 39 
\s"к у 27 
\s"к ъ 12 
\s"л а 12 
\s"л е 59 
\s"л и 32 
\s"л о 17 
\s"л у 11 
\s"м а 109 
\s"м е 57 
\s"м и 35 
\s"м л 10 
\s"м о 50 
\s"м у 10 
\s"м ъ 18 
\s"н а 97 
\s"н е 58 
\s"н и 20 
\s"н о 32 
\s"о б 41 
\s"о р 31 
\s"о с 27 
\s"о т 45 
\s"п а 56 
\s"п е 33 
\s"п и 19 
\s"п л 17 
\s"п о 109 
\s"п р 167 
\s"п ъ 20 
\s"р а 43 
\s"р е 15 
\s"р и 10 
\s"р о 32 
\s"р у 17 
\s"с а 28 
\s"с в 268 
\s"с е 58 
\s"с и 48 
\s"с к 13 
\s"с л 45 
\s"с м 12 
\s"с о 66 
\s"с п 31 
\s"с р 17 
\s"с т 96 
\s"с у 10 
\s"с ъ 41 
\s"т а 26 
\s"т е 37 
\s"т и 22 
\s"т о 19 
\s"т р 36 
\s"т у 11 
\s"у л 10 
\s"у с 11 
\s"ф а 12 
\s"ф е 14 
\s"ф и 24 
\s"ф о 13 
\s"х а 31 
\s"х и 12 
\s"х о 21 
\s"х р 44 
\s"ц а 13 
\s"ч а 13 
\s"ч е 55 
\s"ч и 11 
\s"ч о 13 
\s"ш е 12 
\s%\s ( 25 
\s%\s ) 19 
\s%\s - 92 
\s%\s 0 11 
\s%\s 1 17 
\s%\s 2 11 
\s%\s о 60 
\s%\s с 10 
\s%) \s 16 
\s%) , 39 
\s%) . 13 
\s%, \s 25 
\s%. \s 10 
\s&# 1 16 
\s(\s ) 1260 
\s(\s , 182 
\s(\s - 11 
\s(\s 1 11 
\s(\s ; 35 
\s(\s о 11 
\s(\s — 11 
\s(* \s 16 
\s(- ) 20 
\s(- 1 10 
