<CODE>
ca
</CODE>
<TRANSITION>
\n\n( 1 19 
\n\n( 2 13 
\n\n( e 20 
\n\n* \s 50 
\n\n1 , 44 
\n\n1 - 49 
\n\n1 . 12 
\n\n1 0 11 
\n\n1 7 14 
\n\n1 8 13 
\n\n1 9 110 
\n\n2 . 14 
\n\n2 0 60 
\n\n2 6 10 
\n\n2 9 47 
\n\n3 2 10 
\n\n6 0 28 
\n\n8 \s 11 
\n\na \s 284 
\n\na : 11 
\n\na b 31 
\n\na c 67 
\n\na d 20 
\n\na f 10 
\n\na i 63 
\n\na l 237 
\n\na m 75 
\n\na n 242 
\n\na p 14 
\n\na q 189 
\n\na r 50 
\n\na s 15 
\n\na u 10 
\n\na v 12 
\n\nb a 62 
\n\nb e 24 
\n\nb i 59 
\n\nb l 64 
\n\nb o 30 
\n\nb r 14 
\n\nb u 18 
\n\nc a 208 
\n\nc e 58 
\n\nc h 39 
\n\nc i 11 
\n\nc l 18 
\n\nc o 211 
\n\nc r 14 
\n\nc u 11 
\n\nd ' 31 
\n\nd a 32 
\n\nd e 268 
\n\nd i 130 
\n\nd o 23 
\n\nd u 58 
\n\ne d 147 
\n\ne l 1072 
\n\ne n 461 
\n\ne r 29 
\n\ne s 263 
\n\ne x 27 
\n\nf a 49 
\n\nf e 48 
\n\nf i 74 
\n\nf l 11 
\n\nf o 93 
\n\nf r 27 
\n\nf u 13 
\n\ng a 25 
\n\ng e 31 
\n\ng i 12 
\n\ng o 16 
\n\ng r 23 
\n\nh a 59 
\n\nh e 51 
\n\nh i 109 
\n\nh o 31 
\n\nh u 12 
\n\nh y 10 
\n\nh à 28 
\n\ni \s 103 
\n\ni i 30 
\n\ni l 12 
\n\ni m 13 
\n\ni n 52 
\n\ni s 152 
\n\nj . 24 
\n\nj a 20 
\n\nj o 56 
\n\nj u 16 
\n\nk a 19 
\n\nk o 26 
\n\nk u 12 
\n\nl ' 277 
\n\nl a 559 
\n\nl e 180 
\n\nl i 28 
\n\nl l 51 
\n\nl o 30 
\n\nl u 21 
\n\nl ’ 13 
\n\nm . 12 
\n\nm a 116 
\n\nm c 12 
\n\nm e 63 
\n\nm i 32 
\n\nm o 151 
\n\nm u 27 
\n\nm y 10 
\n\nm é 21 
\n\nn a 12 
\n\nn e 66 
\n\nn i 17 
\n\nn o 144 
\n\no b 22 
\n\no r 24 
\n\np . 52 
\n\np a 89 
\n\np d 10 
\n\np e 193 
\n\np i 15 
\n\np l 18 
\n\np o 95 
\n\np r 73 
\n\np u 32 
\n\nq u 83 
\n\nr . 10 
\n\nr a 19 
\n\nr e 307 
\n\nr i 18 
\n\nr o 23 
\n\ns ' 46 
\n\ns . 10 
\n\ns a 143 
\n\ns c 22 
\n\ns e 103 
\n\ns h 10 
\n\ns i 58 
\n\ns m 25 
\n\ns o 38 
\n\ns p 41 
\n\ns t 16 
\n\ns u 19 
\n\ns ó 12 
\n\nt . 29 
\n\nt a 146 
\n\nt e 41 
\n\nt h 39 
\n\nt i 17 
\n\nt o 72 
\n\nt r 50 
\n\nt é 25 
\n\nu n 166 
\n\nv a 226 
\n\nv e 81 
\n\nv i 39 
\n\nv o 32 
\n\nw a 11 
\n\nw e 10 
\n\nw h 44 
\n\nw i 14 
\n\nz o 30 
\n\né s 110 
\n(1 9 15 
\n(e d 18 
\n1, \s 44 
\n1- 3 42 
\n1. \s 12 
\n19 8 18 
\n19 9 59 
\n2. \s 12 
\n20 0 56 
\n29 0 44 
\n60 1 24 
\na\s a 11 
\na\s c 17 
\na\s f 10 
\na\s l 79 
\na\s m 49 
\na\s p 46 
\na\s r 13 
\na: \s 11 
\nab a 17 
\nac c 15 
\nac t 37 
\nai x 63 
\nal \s 109 
\nal g 34 
\nal l 14 
\nal s 15 
\nal t 32 
\nam b 57 
\nan \s 12 
\nan t 14 
\nan y 191 
\naq u 189 
\nar t 15 
\nba r 25 
\nba s 13 
\nbi b 26 
\nbi o 27 
\nbl a 61 
\nca d 15 
\nca l 67 
\nca n 13 
\nca p 17 
\nca r 31 
\nca s 14 
\nca t 42 
\nce c 43 
\nch a 18 
\nco l 43 
\nco m 76 
\nco n 42 
\nco p 14 
\nco r 16 
\nd' a 26 
\nde \s 56 
\nde l 12 
\nde m 34 
\nde s 133 
\ndi n 13 
\ndi s 68 
\ndi v 10 
\ndu r 49 
\ned i 142 
\nel \s 796 
\nel s 258 
\nen \s 297 
\nen c 22 
\nen l 92 
\nen t 36 
\ner a 23 
\nes \s 106 
\nes c 53 
\nes d 10 
\nes p 18 
\nes t 74 
\nfa c 24 
\nfa o 10 
\nfe r 30 
\nfi n 42 
\nfi s 16 
\nfo r 18 
\nfo u 65 
\nfr a 10 
\nha \s 23 
\nha r 13 
\nhe l 33 
\nhi \s 28 
\nhi s 71 
\nho b 14 
\nhà b 28 
\ni\s j 51 
\nii i 28 
\nin t 13 
\nis b 147 
\nj. \s 23 
\njo h 25 
\njo s 11 
\nku l 10 
\nl' a 118 
\nl' e 79 
\nl' o 32 
\nl' ú 11 
\nla \s 529 
\nle s 161 
\nli m 10 
\nll a 10 
\nll i 20 
\nlu c 12 
\nma l 32 
\nma n 10 
\nma r 42 
\nme n 29 
\nmi t 10 
\nmo l 24 
\nmo n 12 
\nmo r 56 
\nmo y 46 
\nmu s 13 
\nmé s 21 
\nne l 46 
\nno \s 71 
\nno m 17 
\nno v 35 
\nob r 16 
\np. \s 43 
\npa l 22 
\npa r 29 
\npd f 10 
\npe r 166 
\npo r 27 
\npo s 19 
\npo t 11 
\npr e 19 
\npr i 22 
\npr o 31 
\npu b 30 
\nqu a 67 
\nre c 17 
\nre f 198 
\nre i 21 
\nre p 22 
\nre s 20 
\ns' e 13 
\ns' h 15 
\nsa l 14 
\nsa n 99 
\nsc h 10 
\nse \s 15 
\nse g 43 
\nse m 10 
\nse r 11 
\nsi \s 24 
\nsi t 10 
\nsm i 24 
\nsp e 34 
\nsó n 11 
\nt. f 28 
\nta m 104 
\nta n 31 
\nte n 16 
\nth e 31 
\nto t 48 
\ntr a 29 
\ntr e 10 
\nté \s 25 
\nun \s 88 
\nun a 65 
\nva \s 184 
\nva n 20 
\nva r 10 
\nve g 49 
\nve r 15 
\nvi s 11 
\nvo l 28 
\nwh e 41 
\nzo o 25 
\nés \s 109 
\s!\s c 62 
\s!! \s 27 
\s". \s 10 
\s"a \s 16 
