<CODE>
fr
</CODE>
<TRANSITION>
\n\n( 1 11 
\n\n* \s 100 
\n\n- \s 10 
\n\n1 3 14 
\n\n1 8 15 
\n\n1 9 70 
\n\n2 0 40 
\n\n: \s 14 
\n\n; \s 11 
\n\na \s 30 
\n\na c 16 
\n\na d 18 
\n\na i 27 
\n\na l 36 
\n\na n 48 
\n\na p 92 
\n\na r 37 
\n\na s 12 
\n\na t 11 
\n\na u 123 
\n\na v 38 
\n\nb a 32 
\n\nb e 20 
\n\nb i 107 
\n\nb o 16 
\n\nb r 14 
\n\nb u 12 
\n\nc ' 87 
\n\nc a 57 
\n\nc e 369 
\n\nc h 72 
\n\nc i 11 
\n\nc l 19 
\n\nc o 115 
\n\nc u 13 
\n\nc ’ 16 
\n\nd ' 30 
\n\nd a 109 
\n\nd e 185 
\n\nd i 41 
\n\nd o 21 
\n\nd u 42 
\n\nd è 11 
\n\nd é 35 
\n\ne d 10 
\n\ne l 216 
\n\ne n 439 
\n\ne s 18 
\n\ne t 31 
\n\ne x 12 
\n\nf a 18 
\n\nf i 46 
\n\nf o 18 
\n\nf r 32 
\n\ng a 16 
\n\ng e 15 
\n\ng i 11 
\n\ng o 16 
\n\ng r 26 
\n\ng u 17 
\n\ng é 41 
\n\nh a 18 
\n\nh e 22 
\n\nh i 74 
\n\nh o 19 
\n\ni l 731 
\n\ni n 31 
\n\ni s 13 
\n\nj . 24 
\n\nj a 23 
\n\nj e 39 
\n\nj o 35 
\n\nj u 16 
\n\nk a 10 
\n\nk e 11 
\n\nl ' 216 
\n\nl a 451 
\n\nl e 1056 
\n\nl i 102 
\n\nl o 75 
\n\nl ’ 37 
\n\nm a 134 
\n\nm e 22 
\n\nm i 34 
\n\nm o 36 
\n\nm u 15 
\n\nn a 13 
\n\nn i 15 
\n\nn o 97 
\n\nn é 13 
\n\no n 85 
\n\no r 17 
\n\no u 11 
\n\np a 126 
\n\np e 64 
\n\np h 14 
\n\np i 21 
\n\np l 44 
\n\np o 78 
\n\np r 75 
\n\np u 16 
\n\nq u 35 
\n\nr a 19 
\n\nr e 40 
\n\nr i 10 
\n\nr o 33 
\n\nr é 66 
\n\ns a 96 
\n\ns c 13 
