<CODE>
sr
</CODE>
<TRANSITION>
\n\n( * 20 
\n\n( 2 14 
\n\n( † 15 
\n\n* \s 22 
\n\n- \s 81 
\n\n1 4 10 
\n\n1 5 18 
\n\n1 6 10 
\n\n1 7 12 
\n\n1 8 40 
\n\n1 9 240 
\n\n2 . 14 
\n\n2 0 56 
\n\n3 . 10 
\n\n3 0 10 
\n\nа в 96 
\n\nа д 17 
\n\nа к 17 
\n\nа л 54 
\n\nа м 10 
\n\nа н 27 
\n\nа п 122 
\n\nа р 41 
\n\nа у 20 
\n\nб а 60 
\n\nб е 52 
\n\nб и 231 
\n\nб о 72 
\n\nб р 80 
\n\nб у 24 
\n\nв а 45 
\n\nв е 204 
\n\nв и 294 
\n\nв л 23 
\n\nв о 56 
\n\nв р 39 
\n\nв у 14 
\n\nг . 31 
\n\nг а 25 
\n\nг е 49 
\n\nг и 11 
\n\nг л 48 
\n\nг о 1417 
\n\nг р 100 
\n\nд а 98 
\n\nд в 20 
\n\nд е 234 
\n\nд и 51 
\n\nд о 486 
\n\nд р 97 
\n\nд у 28 
\n\nе . 26 
\n\nе в 15 
\n\nе к 24 
\n\nе л 12 
\n\nе м 11 
\n\nе н 16 
\n\nе п 11 
\n\nж е 14 
\n\nж и 37 
\n\nз а 253 
\n\nз б 68 
\n\nз е 19 
\n\nз н 12 
\n\nи \s 169 
\n\nи а 38 
\n\nи в 16 
\n\nи г 32 
\n\nи з 142 
\n\nи л 21 
\n\nи м 57 
\n\nи н 37 
\n\nи п 16 
\n\nи с 111 
\n\nк а 302 
\n\nк и 22 
\n\nк л 53 
\n\nк о 294 
\n\nк р 99 
\n\nк у 23 
\n\nк њ 10 
\n\nл а 30 
\n\nл е 32 
\n\nл и 118 
\n\nл о 19 
\n\nл у 12 
\n\nм а 411 
\n\nм е 144 
\n\nм и 104 
\n\nм л 10 
\n\nм н 16 
\n\nм о 57 
\n\nм р 11 
\n\nм у 29 
\n\nн . 38 
\n\nн а 712 
\n\nн е 130 
\n\nн и 54 
\n\nн о 163 
\n\nо \s 15 
\n\nо б 59 
\n\nо в 158 
\n\nо д 232 
\n\nо к 125 
\n\nо л 13 
\n\nо н 105 
\n\nо п 57 
\n\nо р 35 
\n\nо с 129 
\n\nо т 24 
\n\nп . 21 
\n\nп а 62 
\n\nп е 77 
\n\nп и 25 
\n\nп л 21 
\n\nп о 696 
\n\nп р 530 
\n\nп у 17 
\n\nр а 150 
\n\nр е 154 
\n\nр и 20 
\n\nр к 10 
\n\nр о 65 
\n\nр у 20 
\n\nс \s 15 
\n\nс а 162 
\n\nс в 98 
\n\nс е 183 
\n\nс и 36 
\n\nс к 16 
\n\nс л 61 
\n\nс м 33 
\n\nс н 10 
\n\nс о 30 
\n\nс п 190 
\n\nс р 86 
\n\nс с 10 
\n\nс т 264 
\n\nс у 42 
\n\nт а 133 
\n\nт е 70 
\n\nт и 30 
\n\nт о 139 
\n\nт р 84 
\n\nт у 34 
\n\nу \s 709 
\n\nу б 27 
\n\nу в 11 
\n\nу г 10 
\n\nу з 20 
\n\nу к 28 
\n\nу л 24 
\n\nу м 30 
\n\nу н 15 
\n\nу п 21 
\n\nу р 10 
\n\nу с 38 
\n\nу ч 48 
\n\nф а 22 
\n\nф е 105 
\n\nф и 33 
\n\nф к 11 
\n\nф р 17 
\n\nх а 28 
\n\nх е 17 
\n\nх и 13 
\n\nх о 13 
\n\nх р 50 
\n\nх у 11 
\n\nц е 18 
\n\nц и 18 
\n\nц р 33 
\n\nч е 27 
\n\nч и 16 
\n\nч л 21 
\n\nш а 18 
\n\nш е 14 
\n\nш к 12 
\n\nш т 12 
\n\nј а 164 
\n\nј е 121 
\n\nј о 42 
\n\nј у 287 
\n\nљ у 23 
\n\nњ е 92 
\n\nњ и 21 
\n\nџ е 12 
\n\n— \s 18 
\n\n„ м 21 
\n(* 1 17 
\n(2 0 12 
\n-\s 1 18 
\n18 8 11 
\n18 9 12 
\n19 0 11 
\n19 1 17 
\n19 4 14 
\n19 5 13 
\n19 6 28 
\n19 7 38 
\n19 8 56 
\n19 9 46 
\n2. \s 14 
\n20 0 42 
\nав г 94 
\nад м 12 
\nак о 10 
\nал б 10 
\nал е 17 
\nал и 11 
\nан т 13 
\nап р 112 
\nар х 12 
\nау т 10 
\nба р 10 
\nбе о 15 
\nби л 38 
\nби о 159 
\nби т 16 
\nбо р 24 
\nбр а 13 
\nбр и 13 
\nбр о 34 
\nве к 110 
\nве л 34 
\nве р 11 
\nве ћ 32 
\nви д 248 
\nви ј 17 
\nвл а 23 
\nво д 20 
\nво ј 16 
\nвр а 11 
\nвр с 10 
\nг. \s 31 
\nга л 11 
\nге н 14 
\nге о 29 
\nгл а 38 
\nго д 1377 
\nго р 18 
\nгр а 68 
\nгр у 10 
\nда \s 19 
\nда н 52 
\nде л 18 
\nде м 12 
\nде о 14 
\nде с 12 
\nде т 15 
\nде ц 129 
\nди в 18 
\nди п 11 
\nдо \s 162 
\nдо б 30 
\nдо г 203 
\nдо д 12 
\nдо к 26 
\nдо л 10 
\nдр \s 24 
\nдр а 21 
\nдр ж 11 
\nдр у 30 
\nе. \s 21 
\nжи в 28 
\nза \s 132 
\nза в 11 
\nза м 10 
\nза п 13 
\nза с 16 
\nза т 19 
\nза ј 10 
\nзб о 65 
\nзе м 10 
\nзн а 12 
\nи\s 1 48 
\nи\s 2 14 
\nи\s д 14 
\nи\s о 15 
\nи\s п 12 
\nиа к 38 
\nив а 13 
\nиг р 30 
\nиз \s 24 
\nиз а 14 
\nиз б 11 
\nиз в 37 
\nиз д 14 
\nиз м 13 
\nил и 21 
\nим а 30 
\nим е 23 
\nип а 16 
\nис т 92 
\nка д 82 
\nка к 12 
\nка н 16 
\nка о 68 
\nка п 16 
\nка р 41 
\nка с 31 
\nкл и 22 
\nкл у 20 
\nко д 18 
\nко л 24 
\nко м 31 
\nко н 27 
\nко р 28 
\nко с 126 
\nко ј 11 
\nкр а 44 
\nкр и 15 
\nкр о 16 
\nку л 10 
\nли т 81 
\nма к 18 
\nма л 10 
\nма н 18 
\nма р 159 
\nма с 32 
\nма т 11 
\nма ј 136 
\nме д 12 
\nме с 40 
\nме ђ 56 
\nми л 27 
\nми н 25 
\nми т 15 
\nмн о 16 
\nмо ж 11 
\nн. \s 38 
\nна \s 233 
\nна г 20 
\nна д 14 
\nна к 98 
\nна л 50 
\nна п 51 
\nна р 23 
\nна с 66 
\nна ц 22 
\nна ј 103 
\nне \s 12 
\nне к 44 
\nне м 19 
\nни к 18 
\nни ј 23 
\nно в 141 
\nно с 12 
\nоб и 11 
\nоб ј 10 
\nов а 84 
\nов и 14 
\nов о 47 
\nод \s 147 
\nод б 11 
\nод л 26 
\nод м 11 
\nод р 16 
\nок о 10 
\nок т 105 
\nол и 11 
\nон \s 46 
\nон а 20 
\nон и 26 
\nоп ш 38 
\nор г 12 
\nос в 20 
\nос и 14 
\nос н 50 
\nос т 22 
\nп. \s 21 
\nпа р 20 
\nпе р 18 
\nпе с 12 
\nпе т 26 
\nпл а 13 
\nпо \s 93 
\nпо б 20 
\nпо в 21 
\nпо г 15 
\nпо д 35 
\nпо з 38 
\nпо к 12 
\nпо л 39 
\nпо м 12 
\nпо п 20 
\nпо р 46 
\nпо с 213 
\nпо т 33 
\nпо ч 37 
\nпо ш 23 
\nпо ј 16 
\nпр а 25 
\nпр в 90 
\nпр е 216 
\nпр и 128 
\nпр о 68 
\nра д 46 
\nра з 16 
\nра к 32 
\nра н 13 
\nра с 11 
\nра т 13 
\nре з 12 
\nре к 10 
\nре п 13 
\nре ф 69 
\nрк \s 10 
\nро ђ 39 
\nса \s 57 
\nса в 12 
\nса д 13 
\nса м 23 
\nса с 16 
\nсв а 15 
\nсв е 46 
\nсв и 19 
\nсв о 14 
\nсе д 18 
\nсе з 10 
\nсе л 20 
\nсе п 96 
\nси н 12 
\nсл а 10 
\nсл е 13 
\nсл о 21 
\nсм а 13 
\nсм р 12 
\nсп а 10 
\nсп и 12 
\nсп о 162 
\nср б 31 
\nср е 18 
\nср п 34 
\nст а 191 
\nст е 14 
\nст о 11 
\nст р 24 
\nст у 13 
\nта д 33 
\nта к 64 
\nте \s 11 
\nте о 10 
\nте р 12 
\nти м 13 
\nто \s 55 
\nто к 64 
\nто м 10 
\nтр а 12 
\nтр е 36 
\nтр и 14 
\nту \s 21 
\nу\s 1 11 
\nу\s а 19 
\nу\s б 47 
\nу\s в 24 
\nу\s г 18 
\nу\s д 26 
\nу\s з 16 
\nу\s и 15 
\nу\s к 25 
\nу\s м 36 
\nу\s н 37 
\nу\s о 33 
\nу\s п 97 
\nу\s р 18 
\nу\s с 106 
\nу\s т 52 
\nу\s у 11 
\nу\s ф 20 
\nу\s ј 22 
\nу\s њ 15 
\nуб и 11 
\nуб р 14 
\nуз \s 12 
\nук о 11 
\nук у 11 
\nул о 14 
\nум р 23 
\nуп о 10 
\nуп р 11 
\nус п 13 
\nус т 10 
\nуч е 46 
\nфе б 97 
\nфи л 19 
\nфк \s 11 
\nфр а 12 
\nха р 11 
\nхр в 34 
\nхр и 12 
\nцр к 17 
\nче т 11 
\nчл а 21 
\nшк о 12 
\nја н 129 
\nје \s 37 
\nје д 62 
\nје з 11 
\nјо в 16 
\nјо ш 13 
\nју г 13 
\nју л 128 
\nју н 134 
\nљу б 11 
\nње г 72 
\nње н 19 
\nњи х 17 
\n„м л 19 
\s"а л 13 
\s"а н 11 
\s"б а 17 
\s"б е 26 
\s"б и 23 
\s"б о 34 
\s"б р 20 
\s"в а 11 
\s"в е 21 
\s"в и 21 
\s"в л 14 
\s"в о 14 
\s"г а 11 
\s"г л 17 
\s"г о 14 
\s"г р 10 
\s"д а 17 
\s"д е 12 
\s"д о 18 
\s"д р 17 
\s"д у 10 
\s"е " 13 
\s"з а 42 
\s"з е 10 
\s"и з 15 
\s"и с 13 
\s"к а 32 
\s"к о 35 
\s"к р 26 
\s"л а 11 
\s"л е 12 
\s"л и 11 
\s"м а 52 
\s"м е 11 
\s"м и 23 
\s"м л 13 
\s"м о 21 
\s"н а 103 
\s"н е 40 
\s"н и 23 
\s"н о 11 
\s"о б 11 
\s"о д 11 
\s"о п 11 
\s"п а 12 
\s"п е 22 
\s"п и 11 
\s"п л 13 
\s"п о 89 
\s"п р 68 
\s"п у 11 
\s"р а 31 
\s"р е 11 
\s"р о 11 
\s"с а 20 
\s"с в 23 
\s"с е 17 
\s"с л 21 
\s"с п 11 
\s"с р 19 
\s"с т 29 
\s"с у 11 
\s"т а 19 
\s"т е 15 
\s"т р 15 
\s"у \s 10 
\s"х а 14 
\s"ц р 26 
\s"ј е 14 
\s"ј у 13 
\s#\s д 15 
\s%\s % 75 
\s%\s * 11 
\s&# 9 12 
\s'\s ' 25 
\s'\s р 11 
\s(\s ) 2181 
\s(\s , 323 
\s(\s - 28 
\s(\s 1 10 
\s(\s ; 173 
\s(\s = 10 
\s(\s — 34 
\s(* \s 58 
\s(* 1 118 
\s(, \s 21 
\s(- { 26 
\s(0 ) 144 
\s(0 , 401 
\s(0 : 34 
\s(1 ) 167 
\s(1 , 278 
\s(1 - 15 
\s(1 . 35 
\s(1 0 151 
\s(1 1 59 
\s(1 2 73 
\s(1 3 72 
\s(1 4 79 
\s(1 5 69 
\s(1 6 101 
\s(1 7 137 
\s(1 8 535 
\s(1 9 2375 
\s(1 : 39 
\s(2 \s 16 
\s(2 ) 137 
\s(2 , 176 
\s(2 . 29 
\s(2 0 548 
\s(2 1 35 
\s(2 2 38 
\s(2 3 31 
\s(2 4 33 
\s(2 5 34 
\s(2 6 32 
\s(2 7 28 
\s(2 8 29 
\s(2 9 19 
\s(2 : 18 
\s(3 \s 13 
\s(3 ) 102 
\s(3 , 132 
\s(3 . 27 
\s(3 0 32 
\s(3 1 26 
\s(3 2 19 
\s(3 3 22 
\s(3 4 12 
\s(3 5 16 
\s(3 6 13 
\s(3 7 19 
\s(3 8 14 
\s(3 9 11 
\s(3 : 21 
\s(4 \s 10 
\s(4 ) 118 
\s(4 + 10 
\s(4 , 64 
\s(4 . 22 
\s(4 0 13 
\s(4 2 18 
\s(4 3 11 
\s(4 5 11 
\s(4 8 19 
\s(4 : 13 
\s(5 ) 45 
\s(5 , 63 
\s(5 . 19 
\s(5 0 24 
\s(5 1 10 
\s(5 2 11 
\s(5 3 11 
\s(5 4 11 
\s(5 5 10 
\s(5 7 17 
\s(5 8 12 
\s(6 ) 38 
\s(6 , 51 
\s(6 . 17 
\s(6 0 14 
\s(6 1 11 
\s(6 4 14 
\s(6 5 17 
\s(6 8 12 
\s(6 9 12 
\s(7 ) 22 
\s(7 , 47 
\s(7 . 24 
\s(7 0 13 
\s(7 2 10 
\s(7 3 10 
\s(7 5 12 
\s(7 8 13 
\s(7 9 13 
\s(8 ) 24 
\s(8 , 36 
\s(8 . 17 
\s(8 0 10 
\s(8 1 10 
\s(8 3 14 
\s(8 4 12 
\s(8 5 19 
\s(8 7 15 
\s(8 8 29 
\s(8 9 16 
\s(9 ) 26 
\s(9 , 43 
\s(9 . 25 
\s(9 0 24 
\s(9 1 15 
\s(9 2 26 
\s(9 3 22 
\s(9 4 30 
\s(9 5 26 
\s(9 6 35 
\s(9 7 56 
\s(9 8 57 
\s(9 9 44 
\s(а \s 15 
\s(а в 31 
\s(а е 208 
\s(а к 19 
\s(а л 68 
\s(а н 35 
\s(а р 69 
\s(а т 21 
\s(а у 26 
\s(б а 64 
\s(б е 165 
\s(б и 67 
\s(б л 17 
\s(б о 66 
\s(б р 75 
\s(б у 43 
\s(в . 23 
\s(в а 40 
\s(в е 56 
\s(в и 148 
\s(в л 39 
\s(в о 48 
\s(в р 38 
\s(в у 26 
\s(г а 23 
\s(г е 24 
\s(г л 40 
\s(г о 112 
\s(г р 144 
\s(д а 108 
\s(д в 16 
\s(д е 95 
\s(д и 34 
\s(д о 113 
\s(д р 102 
\s(д у 25 
\s(е к 22 
\s(е л 16 
\s(е м 10 
\s(е н 93 
\s(е р 23 
\s(е с 16 
\s(ж а 11 
\s(ж е 27 
\s(ж и 21 
\s(з а 144 
\s(з б 14 
\s(з в 18 
\s(з е 21 
\s(з л 22 
\s(и \s 38 
\s(и в 16 
\s(и з 85 
\s(и л 128 
\s(и м 32 
\s(и н 44 
\s(и с 54 
\s(и т 15 
\s(к а 203 
\s(к в 11 
\s(к и 29 
\s(к л 17 
\s(к н 18 
\s(к о 265 
\s(к п 33 
\s(к р 100 
\s(к у 36 
\s(к њ 89 
\s(л а 48 
\s(л е 48 
\s(л и 33 
\s(л о 65 
\s(л у 17 
\s(м а 231 
\s(м е 85 
\s(м и 84 
\s(м о 83 
\s(м р 28 
\s(м у 44 
\s(н а 345 
\s(н е 110 
\s(н и 54 
\s(н о 85 
\s(н п 92 
\s(о б 79 
\s(о д 212 
\s(о к 81 
\s(о н 20 
\s(о п 44 
\s(о р 23 
\s(о с 72 
\s(о т 22 
\s(п а 90 
\s(п г 14 
\s(п е 69 
\s(п и 24 
\s(п л 51 
\s(п о 400 
\s(п р 353 
\s(п с 14 
\s(п у 15 
\s(п љ 10 
\s(р а 83 
\s(р е 122 
\s(р и 27 
\s(р о 257 
\s(р у 79 
\s(с а 209 
\s(с в 47 
\s(с е 91 
\s(с и 48 
\s(с к 67 
\s(с л 69 
\s(с м 12 
\s(с н 10 
\s(с о 58 
\s(с п 32 
\s(с р 117 
\s(с т 114 
\s(с у 37 
\s(с ј 13 
\s(т а 87 
\s(т в 32 
\s(т е 53 
\s(т з 22 
\s(т и 20 
\s(т о 31 
\s(т р 103 
\s(т у 21 
\s(у \s 132 
\s(у б 17 
\s(у г 15 
\s(у з 12 
\s(у к 35 
\s(у м 35 
\s(у н 27 
\s(у с 23 
\s(ф а 16 
\s(ф е 12 
\s(ф и 62 
\s(ф о 31 
\s(ф р 35 
\s(ф у 20 
\s(х а 22 
\s(х е 24 
\s(х и 22 
\s(х о 12 
\s(х р 16 
\s(ц а 10 
\s(ц е 26 
\s(ц и 13 
\s(ц р 65 
\s(ч а 26 
\s(ч е 41 
\s(ч и 13 
\s(ш а 26 
\s(ш в 10 
\s(ш е 17 
\s(ш и 11 
\s(ш т 27 
\s(ј а 40 
\s(ј е 72 
\s(ј о 38 
\s(ј у 71 
\s(љ у 18 
\s(њ е 16 
\s(џ о 12 
\s(„ б 10 
\s(„ в 15 
\s(„ п 52 
\s(„ с 10 
\s(† \s 70 
\s(† 1 66 
\s)\s ( 95 
\s)\s - 41 
\s)\s 1 16 
\s)\s а 10 
\s)\s б 15 
\s)\s в 11 
\s)\s д 10 
\s)\s з 10 
\s)\s и 86 
\s)\s к 13 
\s)\s м 19 
\s)\s н 12 
\s)\s о 55 
\s)\s п 27 
\s)\s с 74 
\s)\s у 29 
\s)\s ј 1232 
\s), \s 391 
\s). \n 33 
\s). \s 132 
\s); \s 24 
\s*\s * 51 
\s*\s - 12 
\s*\s 1 45 
\s*\s 2 16 
\s*\s а 65 
\s*\s б 217 
\s*\s в 76 
\s*\s г 63 
\s*\s д 68 
\s*\s е 41 
\s*\s ж 14 
\s*\s з 73 
\s*\s и 34 
\s*\s к 160 
\s*\s л 35 
\s*\s м 99 
\s*\s н 102 
\s*\s о 95 
\s*\s п 171 
\s*\s р 64 
\s*\s с 226 
\s*\s т 45 
\s*\s у 36 
\s*\s ф 38 
\s*\s х 29 
\s*\s ц 60 
\s*\s ч 19 
\s*\s ш 58 
\s*\s ј 32 
\s*1 9 21 
\s*2 0 10 
\s*а л 18 
\s*б а 17 
\s*в и 17 
\s*к а 11 
\s*к о 16 
\s*к у 14 
\s*м а 23 
\s*м и 17 
\s*н а 12 
\s*п о 11 
\s*п р 27 
\s*с п 36 
\s*с т 11 
\s+\s 1 14 
\s,\s ) 90 
\s,\s , 92 
\s,\s . 11 
\s,\s 1 129 
\s,\s 2 94 
\s,\s 3 31 
\s,\s 5 16 
\s,\s 7 13 
\s,\s 8 14 
\s,\s 9 20 
\s,\s а 33 
\s,\s б 18 
\s,\s в 10 
\s,\s г 13 
\s,\s д 11 
\s,\s и 19 
\s,\s к 22 
\s,\s м 16 
\s,\s н 11 
\s,\s о 23 
\s,\s п 22 
\s,\s р 64 
\s,\s с 11 
\s,\s т 17 
\s,\s ј 14 
\s,, \s 10 
\s-\s " 40 
\s-\s ( 30 
\s-\s , 20 
\s-\s - 807 
\s-\s 0 16 
\s-\s 1 663 
\s-\s 2 287 
\s-\s 3 148 
\s-\s 4 89 
\s-\s 5 59 
\s-\s 6 56 
\s-\s 7 52 
\s-\s 8 53 
\s-\s 9 39 
\s-\s а 216 
\s-\s б 211 
\s-\s в 181 
\s-\s г 166 
\s-\s д 236 
\s-\s е 92 
\s-\s ж 50 
\s-\s з 157 
\s-\s и 149 
\s-\s к 263 
\s-\s л 89 
\s-\s м 318 
\s-\s н 285 
\s-\s о 348 
\s-\s п 483 
\s-\s р 175 
\s-\s с 549 
\s-\s т 124 
\s-\s у 179 
\s-\s ф 97 
\s-\s х 144 
\s-\s ц 21 
\s-\s ч 57 
\s-\s ш 45 
\s-\s ђ 19 
\s-\s ј 133 
\s-\s љ 22 
\s-\s џ 46 
\s-\s „ 23 
\s-- \s 34 
\s-5 \s 10 
\s-> \s 19 
\s.\s а 10 
\s.\s б 11 
\s.\s в 14 
\s.\s г 19 
\s.\s д 11 
\s.\s з 16 
\s.\s и 23 
\s.\s к 12 
\s.\s м 16 
\s.\s н 41 
\s.\s о 24 
\s.\s п 58 
\s.\s р 36 
\s.\s с 22 
\s.\s т 22 
\s.\s у 55 
\s.\s ј 10 
\s.. . 141 
\s/\s с 10 
\s0\s ( 11 
\s0\s - 18 
\s0\s 0 486 
\s0\s 1 323 
\s0\s 2 113 
\s0\s 3 55 
\s0\s 4 39 
\s0\s 5 28 
\s0\s 6 11 
\s0\s 7 10 
\s0\s 8 10 
\s0\s 9 10 
\s0\s ж 16 
\s0\s о 141 
\s0\s у 56 
\s0\s ј 85 
\s0, 1 15 
\s0, 2 15 
\s0, 3 16 
\s0, 4 10 
\s0, 5 17 
\s0, 6 15 
\s0- 0 38 
\s0- 1 41 
\s0- 2 20 
\s0- 3 17 
\s00 0 70 
\s01 . 14 
\s02 . 10 
\s03 . 14 
\s04 \s 13 
\s04 . 11 
\s05 . 14 
\s06 . 17 
\s07 . 18 
\s08 . 16 
\s09 . 14 
\s0: 0 14 
\s0: 1 23 
\s0– 0 12 
\s0– 1 13 
\s1\s ( 175 
\s1\s - 89 
\s1\s 0 142 
\s1\s 1 368 
\s1\s 2 187 
\s1\s 3 89 
\s1\s 4 45 
\s1\s 5 35 
\s1\s 6 16 
\s1\s 7 28 
\s1\s 8 16 
\s1\s 9 13 
\s1\s б 16 
\s1\s в 22 
\s1\s г 14 
\s1\s д 11 
\s1\s е 14 
\s1\s ж 16 
\s1\s и 27 
\s1\s к 60 
\s1\s м 39 
\s1\s н 15 
\s1\s о 70 
\s1\s п 23 
\s1\s с 51 
\s1\s т 23 
\s1\s у 81 
\s1\s х 25 
\s1\s ј 25 
\s1\s – 23 
\s1) \s 13 
\s1, \s 54 
\s1, 0 32 
\s1, 1 13 
\s1, 2 16 
\s1, 3 18 
\s1, 4 15 
\s1, 5 28 
\s1, 6 24 
\s1, 7 16 
\s1, 8 20 
\s1, 9 19 
\s1- 0 57 
\s1- 1 64 
\s1- 2 36 
\s1- 3 17 
\s1- 4 14 
\s1- 6 17 
\s1. \n 116 
\s1. \s 721 
\s1. 0 123 
\s1. 1 74 
\s1. 2 85 
\s1. 3 58 
\s1. 4 66 
\s1. 5 63 
\s1. 6 39 
\s1. 7 23 
\s1. 8 40 
\s1. 9 30 
\s1/ 1 14 
\s10 \s 487 
\s10 % 15 
\s10 , 34 
\s10 - 15 
\s10 . 449 
\s10 0 550 
\s10 1 49 
\s10 2 75 
